"Title","Year","Authors","Journal","DOI","Source","Surveillance_Type","Governance","Geographic_Extent","Region","Country","Country_if_Multiple","Animal_Type","Number_Species","Species_name","Num_Indicators_Study","Num_Indicators_System","Indicators_study","Indicators_simpl","Unit_analysis","Source_of_indicators","Data_provider","Providers_if_multiple","Surveillance_system_name","Is_SyS","OneHealth","Response","System_purpose","Pilot_Proof_followup","Analysis_type","Statistical_framework","Keep"
"Factors associated with whole carcass condemnation rates in provincially-inspected abattoirs in Ontario 2001-2007: Implications for food animal syndromic surveillance","2010.0","Alton G.D., Pearl D.L., Bateman K.G., McNab W.B., Berke O.","BMC Veterinary Research","10.1186/1746-6148-6-42","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","cattle","1.0","NA","whole carcass cattle condemnation","carcass condemnation","Population","Food Safety Decision Support System (FSDSS) database maintained by the Ontario Ministry of Agriculture, Food and Rural Affairs (OMAFRA)","Meat inspector","NA","FSDSS prospective","NA","No","NA","detection of disease outbreaks","nothing on OMAFRA website","Temporal","Frequentist","No"
"Harmful Algal Bloom-Associated Illnesses in Humans and Dogs Identified Through a Pilot Surveillance System - New York, 2015","2017.0","Figgatt M, Hyde J, Dziewulski D, Wiegert E, Kishbaugh S, Zelin G, Wilson L.","MMWR Morb Mortal Wkly Rep","10.15585/mmwr.mm6643a5","LitSearch","Pilot program",NA,"State/Province/Department","North America","USA","NA","Companion","1.0","dog","1.0","1.0","gastrointestinal symptoms","GI","Population","Veterinary reports","Private veterinarian","NA","NYSDOH pilot algal bloom system","Yes","Yes","field investigation to confirm HAB","identify water bodies with harmful algal blooms","No (searched dept website)","NA","NA","Yes"
"Integrated community based human and animal syndromic surveillance in Adadle district of the Somali region of Ethiopia","2021.0","Osman Y., Ali S.M., Schelling E., Tschopp R., Hattendorf J., Muhumed A., Zinsstag J.","One Health","10.1016/j.onehlt.2021.100334","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Africa","Ethiopia","NA","Livestock","4.0","camel, cattle, goat, sheep","6.0","NA","respiratory disorders, digestive disorders, reproductive disorders, nervous disorders, skin disorders, musculoskeletal disorders","respiratory, GI, reproductive, nervous, skin/fur/plumage, musculoskeletal","Herd_flock","Calls by village leaders to call centers set up at university and health centers","Member of public","NA","NA","NA","Yes","NA","early detection of human and animal disease including areas without human and animal health facilities","No, although influenced a OneHealth system but it wasn't really syndromic for animals Yahya et al. 2023 in CABI OneHealth","NA","NA","Yes"
"Joint assessment of temporal segmentation, time unit and detection algorithms in syndromic surveillance","2022.0","Brilleaud S., Durand B., Le Strat Y., Sala C.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2022.105619","LitSearch","Prospective/Proof of Concept",NA,"NA","NA","NA","NA","NA","1.0","hypothetical, modelled","1.0","NA","cases (not further specified)","unspecified","Population","simulated","NA","NA","NA","NA","No","NA","determine effects of temporal aggregation on effectiveness of detection algorithms","No","Temporal","Frequentist","Yes"
"Mobile phone-based surveillance for animal disease in rural communities: Implications for detection of zoonoses spillover","2019.0","Thumbi S.M., Njenga M.K., Otiang E., Otieno L., Munyua P., Eichler S., Widdowson M.-A., McElwain T.F., Palmer G.H.","Philosophical Transactions of the Royal Society B: Biological Sciences","10.1098/rstb.2019.0020","LitSearch","Established","Government","Local/Municipal","Africa","Kenya","NA","Livestock","4.0","cattle, sheep, goat, chicken","9.0","17.0","deaths, abortions, stillbirths, neonatal deaths, diarrhoea, constipation, bloating, haematuria, vaginal/preputial discharges, scrotal swelling, lameness, recumbency, alopecia, itching, lumps, aggression, incoordination, circling, mastitis, decrease in milk production","mortality, reproductive, GI, urinary, musculoskeletal, general illness, skin/fur/plumage, nervous, mastitis, milk production","Population","reports by trained community interviewers and villagers calling toll-free surveillance system number","Member of public","NA","KEMRI (Kenya Medical Research Institute) linked human–animal syndromic surveillance study within Health and Demographic Surveillance System","Yes","Yes","field investigation by vet visit","early detection of disease, better detection of disease","Established","Temporal","Frequentist","Yes"
"Mortality in Danish Swine herds: Spatio-temporal clusters and risk factors","2017.0","Lopes Antunes A.C., Ersbøll A.K., Bihrmann K., Toft N.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2017.06.008","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Denmark","NA","Livestock","1.0","pig","1.0","NA","mortality","mortality","Population","public data registered in the Central Husbandry Register (CHR) and the Swine Movement Database (SMD)","Farmer/Owner","NA","NA","NA","No","NA","early detection of disease, effects of management on mortality in pigs","No, checked Danish Veterinary and Food Administration website","Spatio-temporal","Frequentist","Yes"
"Suitability of bovine portion condemnations at provincially-inspected abattoirs in Ontario Canada for food animal syndromic surveillance","2012.0","Alton G.D., Pearl D.L., Bateman K.G., McNab W.B., Berke O.","BMC Veterinary Research","10.1186/1746-6148-8-88","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","cattle","2.0","NA","condemnations for pneumonic lungs, condemnations for “parasitic livers”","carcass condemnation","Population","Food Safety Decision Support System (FSDSS) database maintained by Ontario Ministry of Agriculture, Food and Rural Affairs (OMAFRA) and the Ontario Cattlemen’s Association","Meat inspector","NA","FSDSS prospective","NA","No","NA","detection of disease outbreaks","nothing on OMAFRA website","NA","Frequentist","No"
"The Assessment of Twitter's Potential for Outbreak Detection: Avian Influenza Case Study","2019.0","Yousefinaghani S, Dara R, Poljak Z, Bernardo TM, Sharif S.","Sci Rep","10.1038/s41598-019-54388-4","LitSearch","Prospective/Proof of Concept",NA,"Global","NA","Global","NA","Livestock, Wildlife","2.0","domestic bird, wild birds","1.0","NA","phrases relevant to avian influenza","web search/social media","Population","Twitter","Member of public","NA","NA","NA","No","NA","early detection of disease outbreaks, augment traditional surveillance systems","No","Spatio-temporal","Frequentist","Yes"
"Unsupervised clustering of wildlife necropsy data for syndromic surveillance","2010.0","Warns-Petit E., Morignat E., Artois M., Calavas D.","BMC Veterinary Research","10.1186/1746-6148-6-56","LitSearch","Established","Government","National","Europe","France","NA","Wildlife","252.0","wildlife, wild birds","9.0","NA","haemorrhagic lesions, diarrhoea and lesions of the gut, absence of lesions typical of Clusters 7 and 9 associated with rarer causes of death, inflammatory/necrotic/parasitic lesions of the stomach/lung/heart, inflammatory bacterial diseases of thoracic organs, traumatic lesions, altered texture and haemorrhagic/congestive lesions of trachea/liver/lungs, hypertrophy and purulent lesions of spleen/liver, hypertrophy of the spleen and lesions of the kidney/lymph nodes","carcass condemnation","Population","Necropsy reports","Government veterinarian","NA","SAGIR","Yes","No","field investigation_reinforce or target surveillance_law enforcement role","early detection of disease outbreaks in wildlife","Established","NA","NA","Yes"
"Use of monthly collected milk yields for the detection of the emergence of the 2007 French BTV epizootic","2014.0","Madouasse A., Marceau A., Lehébel A., Brouwer-Middelesch H., van Schaik G., Van der Stede Y., Fourichon C.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2013.12.010","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","France","NA","Livestock","1.0","cattle","1.0","NA","milk production","milk production","Population","Centre de Traitement de l’Information Génétique (CTIG) database (Ministry of Agriculture)","Farmer/Owner","NA","Madouasse prospective system","NA","No","NA","early detection of emerging diseases in livestock","No","Spatio-temporal","Frequentist","No"
"Using Bayes' rule to define the value of evidence from syndromic surveillance","2014.0","Andersson M.G., Faverjon C., Vial F., Legrand L., Leblond A.","PLoS ONE","10.1371/journal.pone.0111335","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","France","NA","Livestock","1.0","horse","2.0","7.0","neurological symptoms, respiratory symptoms","nervous, respiratory","Population","veterinary reports","Private veterinarian","NA","RESPE","Yes","No","publication on website_field investigation_inform Ministry of Agriculture","rapid detection of diseases in horses","Established","Temporal","Bayesian","No"
"Using the National Cattle Register to estimate the excess mortality during an epidemic: Application to an outbreak of Bluetongue serotype 8","2010.0","Perrin J.-B., Ducrot C., Vinard J.-L., Morignat E., Gauffier A., Calavas D., Hendrikx P.","Epidemics","10.1016/j.epidem.2010.10.002","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","France","NA","Livestock","1.0","cattle","1.0","NA","deaths","mortality","Population","French National Cattle Register (Base de Données Nationale d'Identification)","Farmer/Owner","NA","OMAR","Yes","No","NA","early detection of emerging diseases, epidemiological changes in the pattern of enzootic diseases, or other health events","OMAR","Temporal","Frequentist","No"
"Viral haemorrhagic septicaemia virus (VHSV Id) infections are detected more consistently using syndromic vs. active surveillance","2017.0","Vennerström P., Välimäki E., Lyytikäinen T., Hautaniemi M., Vidgren G., Koski P., Virtala A.-M.","Diseases of Aquatic Organisms","10.3354/dao03161","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Finland","NA","Fisheries/Aquaculture","1.0","Finnish brackish-water rainbow trout (Oncorhynchus mykiss)","2.0","NA","mortality, any signs of disease","mortality, general illness","Herd_flock","observations / reports by fisheries staff","Farmer/Owner","NA","NA","NA","No","NA","early detection of disease, increase sensitivity of surveillance","No, checked Finnish Food Safety Authority website. Found report on Google saying ""Insufficient sample material for syndromic and passive surveillance of animal diseases"" in Finland","NA","Frequentist","Yes"
"Analysis of Accelerometer and GPS Data for Cattle Behaviour Identification and Anomalous Events Detection.","2022.0","Cabezas, Javier and Yubero, Roberto and Visitación, Beatriz and Navarro-García, Jorge and Algar, María Jesús and Cano, Emilio L. and Ortega, Felipe","Entropy (Basel, Switzerland)","10.3390/e24030336","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","Europe","Spain","NA","Livestock","1.0","cattle","1.0","NA","Herd clustering","behavior","Herd_flock","GPS signal","Sensor/Camera","NA","NA","NA","No","NA","early detection of disease outbreak","NA","Spatio-temporal","Frequentist","Yes"
"Early Detection of Infection in Pigs through an Online Monitoring System.","2017.0","Martínez-Avilés, M. and Fernández-Carrión, E. and López García-Baones, J. M. and Sánchez-Vizcaíno, J. M.","Transboundary and emerging diseases","10.1111/tbed.12372","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Spain","NA","Livestock","1.0","pig","2.0","NA","temperature, movement","general illness, behavior","Herd_flock","sensors","Sensor/Camera","NA","NA","NA","No","NA","early deteciton of disease outbreak","NA","Temporal","Frequentist","Yes"
"Timely Reporting and Interactive Visualization of Animal Health and Slaughterhouse Surveillance Data in Switzerland.","2015.0","Muellner, Ulrich J. and Vial, Flavie and Wohlfender, Franziska and Hadorn, Daniela and Reist, Martin and Muellner, Petra","Frontiers in veterinary science","10.3389/fvets.2015.00047","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Switzerland","NA","Livestock","1.0","cattle","1.0","1.0","whole carcass cattle condemnation","carcass condemnation","Population","meat inspection reports","Meat inspector","NA","FLEKO prospective system","No","No","NA","early detection of emerging and re-emerging diseases in production animals","No (checked FLEKO website)","Temporal","Frequentist","No"
"Timely Reporting and Interactive Visualization of Animal Health and Slaughterhouse Surveillance Data in Switzerland.","2015.0","Muellner, Ulrich J. and Vial, Flavie and Wohlfender, Franziska and Hadorn, Daniela and Reist, Martin and Muellner, Petra","Frontiers in veterinary science","10.3389/fvets.2015.00047","LitSearch","Established","Nonprofit","National","Europe","Switzerland","NA","Livestock","1.0","horse","10.0","10.0","emaciation, abortions, anemia, diarrhea, fever, itching, respiratory tract symptoms, deaths from unknown cause, CNS symptoms, other","general illness, reproductive, GI, skin/fur/plumage, respiratory, mortality, nervous","Population","veterinary reports","Private veterinarian","NA","Equinella","Yes","No","field investigation","early detection of emerging and endemic disease","Established","Spatio-temporal","NA","Yes"
"Influences of farmer and veterinarian behaviour on emerging disease surveillance in England and Wales.","2014.0","Gilbert, W. H. and Häsler, B. N. and Rushton, J.","Epidemiology and infection","10.1017/S0950268813000484","LitSearch","Established","Government","National","Europe","UK","NA","Livestock","1.0","cattle","18.0","18.0","DNR with following symptoms: abortion, non-abortion reproduction, clinical mastitis, sub-clinical mastitis, milk drop, malaise, diarrhea, non-diarrheal GI, wasting/poor condition, lameness, musculo-skeletal non-wasting, recumbent, death, respiratory, skin, urinary, nervous signs eye disease","lab tests","Population","veterinary reports","Private veterinarian","NA","AHVLA early-warning surveillance system","Yes","No","field investigation","new and re-emerging animal diseases in livestock","Established","Temporal","Frequentist","Yes"
"High real-time reporting of domestic and wild animal diseases following rollout of mobile phone reporting system in Kenya.","2021.0","Njenga, M. Kariuki and Kemunto, Naomi and Kahariri, Samuel and Holmstrom, Lindsey and Oyas, Harry and Biggers, Keith and Riddle, Austin and Gachohi, John and Muturi, Mathew and Mwatondo, Athman and Gakuya, Francis and Lekolool, Isaac and Sitawa, Rinah and Apamaku, Michael and Osoro, Eric and Widdowson, Marc-Alain and Munyua, Peninah","PloS one","10.1371/journal.pone.0244119","LitSearch","Established","Government","Multi-Region","Africa","Kenya","NA","Livestock, Companion, Wildlife","14.0","cattle, goat, sheep, chicken, camel, pig, donkey, cat, dog, wild herbivore, wild carnivore, wild bird, aquatic mammal, primate","15.0","15.0","abortion, mortality, hemorrhage, neurological, respiratory, gastrointestinal, cutaneous, animal bites, oral+foot lesions, lameness+salivation, aggression, blindness, growths, emaciation, diarrhea","reproductive, mortality, hemorrhage, nervous, respiratory, GI, skin/fur/plumage, trauma, musculoskeletal, general illness, behavior, eyes/ears","Population","Reports to custom app","Government official","NA","KABS (Kenya Animal Biosurveillance System)","Yes","No","report to stakeholders","early detection of emerging infectious diseases in animals","Established","Spatio-temporal","Frequentist","Yes"
"Veterinary syndromic surveillance in practice: costs and benefits for governmental organizations.","2015.0","Dórea, Fernanda C. and Lindberg, Ann and Elvander, Marianne","Infection ecology & epidemiology","10.3402/iee.v5.29973","LitSearch","Established","Government","National","Europe","Sweden","NA","Livestock, Companion, Wildlife","8.0","poultry, horse, cattle, small ruminants, pig, fish, cat, dog, wildlife","22.0","22.0","abortion, circulatory/hepatic/hematopoietic, eyes+ears, gastrointestinal, gastrointestinal macroparasites, gastrointestinal microparasites, gastrointestinal bacterial, gastrointestinal viral, integumentary, mastitis, musculoskeletal, nervous, reproductive, respiratory, systemic, toxicology, urinary, antibacterial resistance, whole carcass necropsy submission, Sarcoptes, Cyathostomins, Taylorella","lab tests","Population","Laboratory test requests","Private veterinarian","NA","SVA system","Yes","No","field investigation if deemed necessary_report documenting non-investigation justifying false alarm","early detection of disease outbreaks","Established","Temporal","Frequentist","Yes"
"Motion-based video monitoring for early detection of livestock diseases: The case of African swine fever.","2017.0","Fernández-Carrión, Eduardo and Martínez-Avilés, Marta and Ivorra, Benjamin and Martínez-López, Beatriz and Ramos, Ángel Manuel and Sánchez-Vizcaíno, José Manuel","PloS one","10.1371/journal.pone.0183793","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Spain","NA","Livestock","1.0","pig","1.0","NA","motion","behavior","Herd_flock","Video recording","Sensor/Camera","NA","NA","NA","No","NA","early detection of disease outbreak","NA","Temporal","Frequentist","Yes"
"Principal component analysis for the early detection of mastitis and lameness in dairy cows.","2013.0","Miekley, Bettina and Traulsen, Imke and Krieter, Joachim","The Journal of dairy research","10.1017/S0022029913000290","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Germany","NA","Livestock","1.0","cattle","5.0","NA","milk production, milk electrical conductivity, feed intake, number of feeding visits, time at  trough","milk production, milk quality, behavior","Individual","Milk record","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Principal component analysis for the early detection of mastitis and lameness in dairy cows.","2013.0","Miekley, Bettina and Traulsen, Imke and Krieter, Joachim","The Journal of dairy research","10.1017/S0022029913000290","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Germany","NA","Livestock","1.0","cattle","4.0","NA","activity,  feed intake, number of feeding visits, time at  trough","behavior","Individual","Pedometer data","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Can North American animal poison control center call data provide early warning of outbreaks associated with contaminated pet food? Using the 2007 melamine pet  food contamination incident as a case study.","2022.0","Swirski, Alexandra L. and Pearl, David L. and Berke, Olaf and O'Sullivan, Terri L.","PloS one","10.1371/journal.pone.0277100","LitSearch","Prospective/Proof of Concept",NA,"National","North America","USA","NA","Companion","2.0","dog, cat","1.0","NA","Renal dysfunction syndrome (RDS), Melamine-cyanuric acid toxicosis syndrome (MCTS)","urinary","Population","calls to Animal Poison Control Center","Multiple (see notes)","Private Veterinarian, Farmer/Owner","NA","NA","No","NA","early warning of toxicological incidents","No, checked  ASPCA APCC website","Temporal","Frequentist","Yes"
"Development of an Early Warning System for Owners Using a Validated Health-Related Quality of Life (HRQL) Instrument for Companion Animals and Its  Use in a Large Cohort of Dogs.","2020.0","Davies, Vinny and Scott, E. Marian and Wiseman-Orr, M. Lesley and Wright, Andrea K. and Reid, Jacqueline","Frontiers in veterinary science","10.3389/fvets.2020.575795","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","UK","NA","Companion","1.0","dog","4.0","4.0","Score for Energetic/Enthusiastic, Happy/Content, Active/Comfortable, Calm/Relaxed","behavior","Individual","Owner evaluation in app","Farmer/Owner","NA","VetMetrica","Yes","No","NA","NA","NA","Temporal","Frequentist","NA"
"West Nile virus outbreak detection using syndromic monitoring in horses.","2007.0","Leblond, A. and Hendrikx, P. and Sabatier, P.","Vector borne and zoonotic diseases (Larchmont, N.Y.)","10.1089/vbz.2006.0593","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","France","NA","Livestock","1.0","horse","1.0","NA","neurological symptoms, respiratory symptoms","nervous, respiratory","Population","Veterinary reports","Private veterinarian","NA","Camargue prospective system","NA","No","NA","early detection of emerging disease in horses","IS PRECURSOR TO RESPE?","Temporal","Frequentist","Yes"
"Detecting new and emerging diseases on livestock farms using an early detection system.","2011.0","Kosmider, R. D. and Kelly, L. and Simons, R. L. and Brouwer, A. and David, G.","Epidemiology and infection","10.1017/S0950268810002645","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","UK","NA","Livestock","2.0","cattle, sheep","1.0","NA","DNR","lab tests","Population","Laboratory test results","Government veterinarian","NA","NA","NA","No","NA","early detection of emerging and endemic disease in livestock","Same as Hyder? Farmfile?","Temporal","Frequentist","Yes"
"Spatial-temporal clustering of companion animal enteric syndrome: detection and investigation through the use of electronic medical records from participating  private practices.","2015.0","Anholt, R. M. and Berezowski, J. and Robertson, C. and Stephen, C.","Epidemiology and infection","10.1017/S0950268814003574","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","North America","Canada","NA","Companion","1.0","dog","1.0","NA","gastrointestinal symptoms","GI","Population","Veterinary reports","Private veterinarian","NA","NA","NA","No","NA","improve pet health and to provide early warning of environmental hazards","No, checked Google and U Calgary website","Spatio-temporal","Frequentist","Yes"
"Use of Temperature, Humidity, and Slaughter Condemnation Data to Predict Increases in Transport Losses in Three Classes of Swine and Resulting Foregone  Revenue.","2017.0","Peterson, Erik and Remmenga, Marta and Hagerman, Amy D. and Akkina, Judy E.","Frontiers in veterinary science","10.3389/fvets.2017.00067","LitSearch","Prospective/Proof of Concept",NA,"National","North America","USA","NA","Livestock","1.0","pig","1.0","NA","condemnations for pneumonic lungs, condemnations for “parasitic livers”","carcass condemnation","Population","Veterinary reports","Private veterinarian","NA","NA","NA","No","NA","early warning for health and welfare issues for pigs","No, checked USDA PHIS website","NA","Frequentist","Yes"
"Feral Swine Commercial Slaughter and Condemnation at Federally Inspected Slaughter Establishments in the United States 2017-2019.","2021.0","Akkina, Judy and Burkom, Howard and Estberg, Leah and Carpenter, Lydia and Hennessey, Morgan and Meidenbauer, Karen","Frontiers in veterinary science","10.3389/fvets.2021.690346","LitSearch","Prospective/Proof of Concept",NA,"National","North America","USA","NA","Wildlife","1.0","feral swine","8.0","NA","condemnations for abscess/pyemia, contamination/peritonitis, deads/moribund, emaciation, injuries, miscellaneous parasitic conditions, pneumonia, septicemia","carcass condemnation","Population","meat inspection reports","Meat inspector","NA","NA","NA","No","NA","early detection of emerging disease in feral swine, situational awareness of swine health","No, checked USDA FSIS website","Temporal","Frequentist","Yes"
"Use of spatiotemporal analysis of laboratory submission data to identify potential outbreaks of new or emerging diseases in cattle in Great Britain.","2011.0","Hyder, Kieran and Vidal-Diez, Alberto and Lawes, Joanna and Sayers, A. Robin and Milnes, Ailsa and Hoinville, Linda and Cook, Alasdair J. C.","BMC veterinary research","10.1186/1746-6148-7-14","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","UK","NA","Livestock","1.0","cattle","6.0","NA","DNR with following symptoms:  fetopathy, systemic disease, digestive disease, respiratory disease, musculoskeletal disease, nervous disease","lab tests","Population","submissions to  VLA regional laboratories","Private veterinarian","NA","NA","NA","No","NA","early detection of new, emerging, and endemic disease in livestock","Same as Kosminder? Also Farmfile?","Spatio-temporal","Frequentist","Yes"
"Application of an automated surveillance-data-analysis system in a laboratory-based early-warning system for detection of an abortion outbreak in  mares.","2009.0","Odoi, Agricola and Carter, Craig N. and Riley, Jeremy W. and Smith, Jackie L. and Dwyer, Roberta M.","American journal of veterinary research","10.2460/ajvr.70.2.247","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","USA","NA","Livestock","1.0","horse","1.0","NA","abortions","reproductive","Population","Veterinary reports","Private veterinarian","NA","NA","NA","No","NA","early detection of disease outbreaks in horses","No, checked UTenn website","Spatio-temporal","Frequentist","Yes"
"Monitoring breeding herd production data to detect PRRSV outbreaks.","2017.0","Silva, G. S. and Schwartz, M. and Morrison, R. B. and Linhares, D. C. L.","Preventive veterinary medicine","10.1016/j.prevetmed.2017.10.012","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","USA","NA","Livestock","1.0","pig","3.0","NA","abortions, pre-weaning mortality rate, prenatal losses","reproductive, mortality","Population","Production data from farmers' association Morrison’s Swine Health Monitoring Project (MSHMP)","Farmer/Owner","NA","NA","NA","No","NA","detect PRRS outbreaks in pigs","No, checked website of Morrison’s Swine Health Monitoring Project","Temporal","Frequentist","Yes"
"Web monitoring of emerging animal infectious diseases integrated in the French Animal Health Epidemic Intelligence System.","2018.0","Arsevska, Elena and Valentin, Sarah and Rabatel, Julien and de Goër de Hervé, Jocelyn and Falala, Sylvain and Lancelot, Renaud and Roche, Mathieu","PloS one","10.1371/journal.pone.0199960","LitSearch","Established","Academic","Global","NA","Global","NA","Livestock, Companion, Wildlife","multiple","NA","1.0","1.0","reports of disease","web search/social media","Population","Google News stories","Member of public","NA","PADI-web","Yes","No","not specified","monitoring of emerging animal infectious diseases","Established","Spatio-temporal","Frequentist","Yes"
"Early recognition of bovine respiratory disease in calves using automated continuous monitoring of cough sounds.","2016.0","Vandermeulen, Joris and Bahr, Claudia and Johnston, Dayle and Earley, Bernadette and Tullo, Emanuela and Fontana, Ilaria and Guarino, Marcella and Exadaktylos, Vasileios and Berckmans, Daniel","Computers and electronics in agriculture","10.1016/j.compag.2016.07.014","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Ireland","NA","Livestock","1.0","cattle","1.0","NA","coughing","respiratory","Herd_flock","Automatic recordings","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","Yes"
"The effect of clinical lameness on liveweight in a seasonally calving, pasture-fed dairy herd.","2012.0","Alawneh, J. I. and Stevenson, M. A. and Williamson, N. B. and Lopez-Villalobos, N. and Otley, T.","Journal of dairy science","10.3168/jds.2011-4505","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Oceania","New Zealand","NA","Livestock","1.0","cattle","1.0","NA","weight","general illness","Individual","Automated walkover liveweight measurements","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Highly pathogenic avian influenza subtype H5Nx clade 2.3.4.4 outbreaks in Dutch poultry farms, 2014-2018: Clinical signs and mortality.","2021.0","Schreuder, Janneke and Manders, Thijs T. M. and Elbers, Armin R. W. and van der Spek, Arco N. and Bouwstra, Ruth J. and Stegeman, J. Arjan and Velkers, Francisca C.","Transboundary and emerging diseases","10.1111/tbed.13597","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Netherlands","NA","Livestock","2.0","chicken, duck","1.0","NA","mortality ratio","mortality","Herd_flock","Flock records","Farmer/Owner","NA","NA","NA","No","NA","early detection of HPAI","No, not specifically for this, checked GD Health website and poultry reports","Temporal","NA","Yes"
"Multi-level Hierarchical Complex Behavior Monitoring System for Dog Psychological Separation Anxiety Symptoms.","2022.0","Wang, Huasang and Atif, Othmane and Tian, Jirong and Lee, Jonguk and Park, Daihee and Chung, Yongwha","Sensors (Basel, Switzerland)","10.3390/s22041556","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Asia","Korea South","NA","Companion","1.0","dog","4.0","NA","head posture, body posture, specific (atomic) behavior, complex symptomatic behavior","behavior","Individual","Sensors and video recordings","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Association between Rumination Times Detected by an Ear Tag-Based Accelerometer System and Rumen Physiology in Dairy Cows.","2023.0","Simoni, Anne and Hancock, Andrew and Wunderlich, Christian and Klawitter, Marcus and Breuer, Thomas and König, Felix and Weimar, Karina and Drillich, Marc and Iwersen, Michael","Animals : an open access journal from MDPI","10.3390/ani13040759","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Germany","NA","Livestock","1.0","cattle","2.0","NA","head and ear movements","behavior","Individual","Ear tag","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Is syndromic data from rural poultry farmers a viable poultry disease reporting tool and means of identifying likely farmer responses to poultry disease  incursion?","2018.0","Mubamba, C. and Ramsay, G. and Abolnik, C. and Dautu, G. and Gummow, B.","Preventive veterinary medicine","10.1016/j.prevetmed.2018.03.002","LitSearch","Prospective/Proof of Concept",NA,"Multi-Region","Africa","Zambia","NA","Livestock","1.0","poultry","27.0","NA","bloody diarrhoea, coughing, mortality, diarrhoea, difficulty breathing, droopy wings, dullness, emaciation, fever, froth, green diarrhoea, inflamed skin, lacrimation, lameness, loss of appetite, paralysed limbs, rough feathers, sneezing, sores, swollen eyes, swollen heads, twisted necks, vomiting, weakness, weight loss, white diarrhoea, yellow diarrhoea","GI, respiratory, general illness, skin/fur/plumage, eyes/ears, nervous","Population","Survey of farmers","Farmer/Owner","NA","NA","NA","No","NA","early detection of disease where vet services limited","No, checked Zambia veterinary services website","NA","Frequentist","Yes"
"Monitoring selected behaviors of calves by use of an ear-attached accelerometer for detecting early indicators of diarrhea.","2021.0","Goharshahi, M. and Azizzadeh, M. and Lidauer, L. and Steininger, A. and Kickinger, F. and Öhlschuster, M. and Auer, W. and Klein-Jöbstl, D. and Drillich, M. and Iwersen, M.","Journal of dairy science","10.3168/jds.2020-18989","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Slovakia","NA","Livestock","1.0","cattle","1.0","NA","accelometry","behavior","Individual","Ear tag","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Using rumination and activity data for early detection of anaplasmosis disease in dairy heifer calves.","2022.0","Teixeira, V. A. and Lana, A. M. Q. and Bresolin, T. and Tomich, T. R. and Souza, G. M. and Furlong, J. and Rodrigues, J. P. P. and Coelho, S. G. and Gonçalves, L. C. and Silveira, J. A. G. and Ferreira, L. D. and Facury Filho, E. J. and Campos, M. M. and Dorea, J. R. R. and Pereira, L. G. R.","Journal of dairy science","10.3168/jds.2021-20952","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","South America","Brazil","NA","Livestock","1.0","cattle","2.0","NA","rumination, activity","behavior","Individual","Individual sensor tag","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
